"Gene_name"	"replicate1_timepoint1"	"replicate1_timepoint2"	"replicate1_timepoint3"	"replicate1_timepoint4"	"replicate2_timepoint1"	"replicate2_timepoint2"	"replicate2_timepoint3"	"replicate2_timepoint4"	"replicate3_timepoint1"	"replicate3_timepoint2"	"replicate3_timepoint3"	"replicate3_timepoint4"
VNG1846C	53.25454449	41.05009542	54.67450269	93.3328286	49.57859929	50.50823243	62.99479916	121.6664542	49.95595978	42.17697944	55.8020444	81.09342475
VNG1847G	210.5763757	238.6879961	306.9676898	321.0112688	190.4861973	245.2911767	441.2986728	418.0524573	200.4431279	203.9427236	481.8030175	281.3445348
VNG1848H	21.97622033	17.63419592	25.47085266	35.45497596	22.2485681	20.78329182	23.62304968	38.6783734	23.94583196	23.57719348	26.99367188	34.47849692
VNG1849H	186.2746294	139.0499711	98.37018958	81.83391748	167.550945	133.5205666	107.8953475	129.9652623	176.9101551	140.2843012	108.8820378	100.677211
VNG1850G	802.0739037	681.9519373	289.4015845	231.5114106	774.8544521	662.1653439	425.8850518	253.8546116	766.4730523	707.9707263	381.5408076	208.8017773
VNG1851G	78.71905376	58.68429134	90.02628957	53.46993671	68.80575691	69.59986096	64.33511404	74.39288676	62.54816452	69.94567398	57.84358261	58.19970279
VNG1852H	72.20758107	59.6479086	73.77764219	128.7878046	65.50967275	76.36651411	107.7278081	189.835235	65.85103789	61.30070304	80.07366533	111.986158
VNG1853G	204.5300082	175.0892568	269.6397161	613.6585568	200.2371129	192.6079486	326.0315935	646.7142586	169.2722604	158.4911339	307.3649193	479.9406771
VNG1856G	282.086299	756.8249986	1849.930463	6526.590304	305.4371325	787.4692602	3010.347211	5992.776789	371.366825	593.621338	3478.781109	6099.935674
VNG1857C	118.8343766	249.8659564	954.7178221	1973.596445	130.8820087	324.557685	1220.021616	2578.410033	129.8442095	244.8098589	1229.006002	2169.938682
VNG1859G	55.23124156	45.77182001	48.08721321	30.08881743	43.67311517	45.91657494	29.98954534	24.15545925	50.16238937	42.43894826	20.4153821	34.75432489
VNG1861C	1715.075396	1101.125447	482.8483189	1128.809775	1667.68125	1014.51464	532.1050057	924.8725225	1323.626505	1030.192371	446.4163552	924.5753733
VNG1862G	359.2937609	251.9859144	293.5735345	298.3967436	354.3290476	291.2077516	220.6493364	287.790809	303.6579208	283.974197	244.0772348	296.7909014
VNG1864G	150.5778059	109.852368	225.9440292	242.4353761	134.7274402	144.2747118	122.4712718	236.5160304	115.6005681	133.2111431	151.5275027	243.2802742
VNG1865H	199.4138511	268.0783227	698.4722613	4185.028702	220.1509548	263.1744743	570.3039796	3546.406719	217.9896427	243.8929681	703.1964944	4145.418641
VNG1866G	659.1703335	594.7445749	371.3035504	265.8164954	630.5134331	575.7696831	500.7751454	304.3884251	685.3462251	683.2146732	439.1575526	291.2743419
VNG1867G	34.41778421	18.79053664	25.03170003	19.16485187	31.03812587	18.72912925	7.706810535	21.78437122	34.06088167	19.90963005	12.02239168	28.68610943
VNG1868G	53.13826819	27.55945373	36.01051583	19.35650039	49.57859929	24.28745148	10.72251901	24.00726625	36.95089587	22.26734939	11.56871652	26.47948563
VNG1869C	263.7146439	138.9536094	158.7536765	92.18293749	284.4245959	133.3997335	48.25133553	84.47001087	214.8931989	133.9970496	64.87554755	91.85071578
VNG1871G	70.69598919	38.93013744	99.02891853	96.59085342	53.56136766	39.27075488	31.32986022	97.362802	51.19453729	39.03335364	40.60392661	94.88482351
VNG1872C	12.90666908	15.89968485	59.50518164	36.98816411	15.10705242	21.26662418	31.32986022	47.86633949	13.62435267	17.5519107	31.53042346	47.99406771
VNG1873G	4667.679431	4578.049257	2307.527505	835.9708385	4996.314245	4129.833417	3041.677071	1043.130538	4949.76861	5926.520533	2900.572121	920.7137816
VNG1874C	150.9266348	139.6281415	82.34111851	123.8049431	158.074703	110.441446	83.26706165	97.510995	144.0878509	159.2770404	94.13759522	101.2288669
VNG1875G	1012.766556	954.7519845	375.6950767	315.0701647	999.9495331	957.3605875	607.1626387	337.2872715	995.403463	953.9594449	483.3908805	266.4498242
VNG1877C	119.8808633	96.65081152	66.53162376	17.63166372	123.1911456	99.44563467	40.54452499	17.04219518	116.632716	112.2536378	51.71896798	19.85961422
VNG1879G	686.3789872	574.7976976	317.507353	114.2225171	713.8768951	596.4321419	282.3038207	126.8532093	684.1076476	585.7622735	312.3553461	144.809687
VNG1880C	181.2747486	152.829698	229.6768266	143.9280375	191.7222288	182.5788019	234.7226426	185.2412519	174.6394296	159.2770404	196.4413433	151.1537305
VNG1882G	93.13731471	145.1207599	193.2271581	53.08663967	87.75824086	126.8747465	147.4346363	56.16514758	113.9491314	109.5029653	141.5466492	65.64705813
VNG1883G	80.46319823	87.59280924	133.9415528	42.54597115	85.01150405	87.72482475	119.6231027	50.68200652	83.60398228	88.93841317	93.45708248	55.71725102
VNG1884G	15.92985283	19.94687735	41.71950005	9.582425934	18.8151471	16.91663287	30.9947815	13.04098413	22.08796569	17.81387952	22.45692031	19.85961422
VNG1886C	123.3691522	122.4757542	64.99458954	27.78903521	106.1613774	113.7039395	76.73302664	30.23137231	120.9677373	113.8254507	62.60717176	22.342066
VNG1886a	7.209130477	5.010809769	21.29890265	5.366158523	10.71227353	9.787480448	5.528798862	7.557843078	8.876472192	7.466111267	6.578289787	9.929807112
VNG1887G	964.6281683	543.67286	398.5310136	334.4266651	823.4716935	563.5655408	500.7751454	438.6512845	785.4645742	571.484973	413.2980687	331.5452263
VNG1889H	412.5483054	215.850267	140.7484186	128.7878046	346.226174	155.9955217	169.2147531	116.7760852	353.2010214	279.9136803	187.3678401	100.125555
VNG1890H	22.67387811	57.91339753	263.9307319	135.3038542	39.6903468	62.10820926	106.8901113	121.6664542	43.55664262	88.93841317	213.4541617	151.4295585
VNG1891H	53.48709709	51.16807668	314.6528609	89.69150674	65.78434643	75.64151556	63.16233852	84.47001087	55.32312901	59.46692132	81.88836596	126.0533847
VNG1893G	72.20758107	92.02544865	294.2322635	136.8370423	81.30340937	106.3331209	218.3037854	116.3315062	72.86964381	83.83002125	255.8727889	113.6411258
VNG1894C	43.13850656	46.73543727	161.3885923	71.86819451	45.73316777	60.17487979	151.455581	90.69411693	39.01519173	50.82195038	124.7606684	77.78348904
VNG1895H	65.57983208	52.99894949	61.04221586	107.1315219	49.57859929	51.71656335	79.74873511	116.1833132	54.91026984	51.0839192	87.78614301	104.8146306
VNG1896C	269.5284588	255.5512982	593.9539349	343.8174425	282.639217	277.5536122	377.1310982	347.3643956	267.3263137	241.7972175	449.5920813	356.9214001
VNG1898C	295.9231785	480.0741206	1160.680407	1207.577316	325.3509743	504.1156596	1457.089809	1030.089554	416.5749043	540.8346215	1757.991236	1141.927818
VNG1899G	329.1781997	429.4842143	434.5415294	851.4943685	316.8360902	405.3950235	666.6391113	685.244439	268.152032	283.7122282	711.1358097	573.9980166
VNG1900C	243.1337392	235.4116974	234.2879292	286.3228869	235.2580072	222.8162216	434.9321772	321.7270063	240.4904675	229.0917299	464.3365239	267.0014801
