"transcript_id"	"WTCMA"	"WTCMB"	"WTCMC"	"WTCM_1"	"WTCM_2"	"WTCM_3"	"WTMA"	"WTMC"	"WTM_1"	"WTM_2"	"WTM_3"	"KOCMA"	"KOCMB"	"KOCMC"	"KOCM_1"	"KOCM_2"	"KOCM_3"	"KOMA"	"KOMB"	"KOM_1"	"KOM_2"
"VNG_RS00095"	21.008921094033	21.924164009174	15.7672532427844	23.0510269282831	4.06710508680733	16.4319035732964	16.1131818157153	20.2398959338904	17.3685549072358	13.9728860479266	49.7192578274754	11.1155632841794	14.3469659969263	14.7070480517451	0	23.0645122519549	21.9743229799525	18.9308249851582	25.6132339043639	28.4180179935682	22.0996575418855
"VNG_RS00100"	93.2270873547715	74.2048628002812	90.5345508779234	46.1020538565662	52.8723661284953	36.150187861252	137.284309069894	122.359370873065	89.7375336873849	53.0969669821213	82.6269680442216	90.8576477141621	68.9757980621455	50.4241647488403	32.1107571789017	59.5833233175502	56.5054019484492	122.626537963562	137.457688620086	59.3288445830634	71.8238870111278
"VNG_RS00110"	372.251820634897	214.182217628085	299.577811612904	164.238566864017	87.4427593663575	92.0186600104598	455.680781748428	396.517961250308	131.711541379871	95.0156251259012	156.669316031901	426.257687680271	250.520098561712	336.394543532772	112.387650126156	98.0241770708083	160.098638853939	615.958186084252	538.731686455121	163.528243892814	254.146061731683
"VNG_RS00115"	361.090831303692	294.711358507935	396.72443643135	429.325376539273	280.630250989706	345.069975039224	627.769563540267	582.357005734211	618.031078782474	486.256434467847	686.769604523401	385.178432064825	313.426026394389	238.347556521139	372.484783275259	359.421982592964	521.105373524587	459.425692923392	593.373252117764	481.610620733103	640.890068714679
"VNG_RS00120"	0.656528784188532	1.68647415455185	2.54310536173942	2.88137836603539	4.06710508680733	1.64319035732964	1.28905454525722	1.83999053944458	0	0	5.00769503298313	3.38299752127199	0.551806384497164	0.933780828682227	6.42215143578033	0	0	2.26039701315322	0.853774463478797	1.49568515755622	5.52491438547137
"VNG_RS00125"	777.98660926341	657.303301736582	804.638536454353	769.328023731449	791.051939384025	798.590513662204	948.099618036686	827.07574748034	839.48015384973	832.784008456428	1024.43132674741	805.636695422916	663.271274165591	553.26514099422	716.069885089507	934.112746204174	957.452644126501	762.318892685923	955.373624632774	786.730392874572	1093.93304832333
"VNG_RS00135"	335.48620872034	294.711358507935	390.112362490827	253.561296211114	148.449335668467	184.03732002092	493.063363560887	483.917511873925	163.553892043137	279.457720958533	309.404014537886	358.597737254831	246.657453870232	285.970378783932	125.231952997717	274.852104335796	357.867545673512	531.758397344295	601.910996752552	241.802433804922	453.042979608652
"VNG_RS00140"	258.672340970281	220.928114246292	287.370905876555	161.357188497982	117.946047517412	139.671180373019	464.0596362926	427.797800420866	201.185761008815	206.798713509314	361.269427379497	229.077260726132	210.790038877917	235.779659242262	115.598725844046	167.217713826673	182.072961833892	433.148577645485	461.891984742029	217.372909564837	397.793835753939
"VNG_RS00145"	206.150038235199	243.273896794104	209.551881807328	178.645458694194	132.180915321238	169.248606804953	377.048454487737	303.598439008356	237.370250398889	217.977022347656	348.034804792328	227.144119285405	171.611785578618	141.701240752528	138.076255869277	165.29567113901	156.959449856803	266.161748298791	303.089934534973	213.384415811354	248.621147346212
"VNG_RS00150"	637.489449447064	496.666638515519	779.207482836959	919.159698765289	886.628908923997	744.365231870326	563.316836277406	626.516778680881	655.662947748151	687.465993557991	764.746570036995	669.350223851673	506.558260968396	426.971283914949	1056.44391118586	1183.97829560035	866.416163209555	472.422975749022	613.010064777776	641.150370872434	944.760359915604
"VNG_RS00155"	649.306967562458	409.813219556099	639.845309013638	714.581834776776	538.891424001971	561.971102206736	500.79769083243	550.15717129393	405.266281168835	525.380515402042	584.111856347247	578.975861497692	445.859558673708	373.04544105855	581.20470493812	720.766007873591	728.291847335568	435.126425031994	570.321341603836	434.24725741049	883.986301675419
"VNG_RS00165"	3845.28908899223	2559.64614807106	2030.9239418851	3837.99598355914	2470.76634023545	2946.24031069204	2326.74345418928	2179.46879397211	1897.51462361551	1903.10707972761	2514.57829156224	2486.9864634951	2256.3363062089	1804.06456101406	2459.68399990387	2927.27101331061	2633.77956859716	1680.88772890606	2479.36104194243	1521.61036695386	2707.20804888097
"VNG_RS00175"	345.334140483168	266.88453495783	347.388192413605	354.409539022353	280.630250989706	326.994881108598	313.884781770133	310.958401166135	340.134200266701	380.062500503605	395.965600108023	289.971216109028	266.52248371213	201.696658995361	333.951874660577	390.17466559557	404.955380630553	233.38599160807	314.189002560197	286.174426812424	381.219092597524
"VNG_RS00180"	1544.81222919562	1307.86070685496	1485.68215232817	1656.79256047035	1331.9769159294	1626.75845375634	1307.10130889082	1280.63341545343	1192.64077029686	1168.13327360667	1490.50465731719	1470.15406567277	1482.15194875938	1099.06003535898	1518.83881456205	1925.88677303823	1905.48772126159	1119.46162076413	1177.35498513726	1291.2748526902	1944.76986368592
"VNG_RS00185"	898.131376769911	640.016941652426	757.845397798348	674.242537652281	544.992081632182	442.018206121673	864.311072594967	787.515950882282	609.346801328856	757.330423797624	631.32726665823	714.295762348572	637.888180478721	631.936175810697	439.917373350953	515.10744029366	612.141854441533	796.789947136509	867.434854894458	525.982613740605	696.139212569392
