"ID"	"Pexp"	"PS"	"C"	"Sexp"	"Sstat"	"baseMean"	"baseMeanA_Pexp"	"baseMeanB_PS"	"foldChange"	"log2FoldChange"	"pval"	"padj"
TK0133	41.2	64.33333333	362.1166667	40.7	1	40.12818525	50.61161363	29.64475686	0.585730324	-0.771691508	0.684303501	1
TK0134	28	70.39285714	443	46.91666667	1.5	33.49399082	34.56402882	32.42395282	0.938083722	-0.092211408	0.950364679	1
TK0135	391.5	347	2997.822222	298.25	33.25	322.3132848	483.8964035	160.7301661	0.332158216	-1.590057495	0.404362017	1
TK0136	242.3333333	254	2937.775	177.3666667	15.75	208.1922961	298.7319634	117.6526288	0.393840108	-1.344318054	0.476590973	1
TK0137	83.5	109.5	1053.083333	84.5	2.5	77.32200616	103.6920865	50.95192585	0.491377188	-1.025097213	0.585724833	1
TK0138	39	68	109.25	40	3	39.8201543	48.14275443	31.49755416	0.654253263	-0.612078881	0.743619071	1
TK0139	531.8333333	566.8333333	2436.208333	524.5	32.75	459.6752827	656.7165476	262.6340178	0.399919903	-1.322217014	0.481260046	1
TK0140	26.25	155.6666667	328.3666667	101.2	8.45	52.17713223	32.09516962	72.25909485	2.251400934	1.170822997	0.586177476	1
TK0141	26	69.41666667	288.4166667	37.66666667	6	32.02796155	32.09516962	31.96075349	0.995811951	-0.006054765	0.986083474	1
TK0142	100.625	221.2083333	1585.316667	135	10.2	113.5222204	124.6773897	102.367051	0.821055456	-0.284448427	0.858566338	1
TK0143	998	4884.833333	3179.2	3189	51	1747.344724	1231.960742	2262.728707	1.836688971	0.877107338	0.675161119	1
TK0144	169.5	223.0833333	774.3333333	184	8.5	156.5732409	209.8530321	103.2934497	0.492218047	-1.02263054	0.581449578	1
TK0145	80	102	201	61.5	4	73.00034965	98.75436806	47.24633125	0.478422698	-1.063642256	0.573773468	1
TK0146	67.5	108.8333333	331.5333333	127	6.5	67.21496969	83.94121285	50.48872653	0.60147721	-0.73341802	0.690433541	1
TK0147	42.66666667	109.1166667	603.25	82.53333333	16	51.78459968	53.08047283	50.48872653	0.951173263	-0.072219933	0.951523856	1
TK0148	346.5	606.8333333	604	487.5	32	354.1373164	427.1126419	281.1619908	0.65828534	-0.603215025	0.729619665	1
TK0149	197.8333333	730.625	2170.916667	381	26.5	291.5078841	244.417061	338.5987073	1.385331719	0.470231473	0.839983993	1
TK0150	558	837.25	6481.309524	1030.452381	63.67857143	538.2547765	688.8117172	387.6978358	0.562850233	-0.829177003	0.645281127	1
TK0151	50.5	169	346.6666667	45.5	4	70.00108306	61.72148004	78.28068608	1.268289193	0.342883743	0.900244357	1
TK0152	4.5	12.08333333	93.11111111	10.5	0	5.248055157	4.937718403	5.558391911	1.125700467	0.170822997	1	1
TK0153	25.14285714	65	481.5333333	39.33333333	0.5	30.4843481	30.86074002	30.10795619	0.975607071	-0.03562788	0.975111845	1
TK0154	137.5	403.7833333	1184.75	345	4	178.7419063	170.3512849	187.1325277	1.098509634	0.135547523	0.979255152	1
TK0155	256.15	464.3373016	1650.042857	273.6666667	15.78333333	265.4692325	316.0139778	214.9244872	0.680110699	-0.556158508	0.748283497	1
TK0156	178.45	383.7666667	413.9166667	89.53333333	5	198.798505	219.7284689	177.8685412	0.80949247	-0.304910434	0.847728072	1
TK0157	39.5	171.5	181.5	42.91666667	6	64.52373405	49.37718403	79.67028406	1.613504002	0.690197157	0.762186791	1
TK0158	15.5	21.2	125.45	17.75	4	14.73902973	19.75087361	9.727185845	0.492493954	-1.021822081	0.628129471	1
TK0159	94.36666667	831.1666667	705.8666667	723	8.666666667	250.4775112	116.0363825	384.9186399	3.317223716	1.729976312	0.390010936	1
TK0160	5.666666667	46.75	108.202381	40.5	2	14.58847296	7.406577605	21.77036832	2.939328997	1.555486848	0.515353914	1
