"locus"	"Half-life"	"RPKM"
BCE_0730	NA	82
BCE_0731	2.1	42
BCE_0732	1.1	137
BCE_0733	1.5	182
BCE_0734	1.9	159
BCE_0735	1.7	167
BCE_0736	10.0	785
BCE_0737	7.8	1137
BCE_0738	4.6	1672
BCE_0739	2.7	46
BCE_0740	5.4	21
BCE_0741	1.0	42
BCE_0742	NA	43
BCE_0743	1.1	11
BCE_0744	3.2	1162
BCE_0745	3.4	335
BCE_0746	3.2	12
BCE_0747	3.4	20
BCE_0748	NA	7
BCE_0749	2.0	134
BCE_0750	1.7	41
BCE_0751	NA	NA
BCE_0752	1.3	142
BCE_0753	1.1	19
BCE_0754	NA	23
BCE_0755	2.2	89
BCE_0756	2.3	123
BCE_0757	1.6	28
BCE_0758	NA	9
BCE_0759	NA	11
BCE_0760	NA	NA
BCE_0761	2.8	29
BCE_0762	NA	NA
BCE_0763	0.8	60
BCE_0764	NA	35
BCE_0765	NA	27
BCE_0766	1.2	14
BCE_0767	NA	15
BCE_0768	1.9	45
BCE_0769	5.6	931
BCE_0770	7.2	2636
BCE_0771	8.7	1246
BCE_0772	7.5	1022
BCE_0773	NA	NA
BCE_0774	0.8	22
BCE_0775	NA	NA
BCE_0776	NA	NA
BCE_0777	NA	NA
BCE_0778	NA	NA
BCE_0779	NA	NA
BCE_0780	NA	NA
BCE_0781	NA	8
BCE_0782	1.6	25
BCE_0783	2.1	35
BCE_0784	NA	NA
BCE_0785	NA	NA
BCE_0786	NA	NA
BCE_0787	NA	NA
BCE_0788	NA	NA
BCE_0789	NA	7
BCE_0790	NA	347
BCE_0791	NA	7
BCE_0792	1.2	89
BCE_0793	NA	84
BCE_0794	3.0	146
BCE_0795	NA	NA
BCE_0796	NA	NA
BCE_0797	NA	NA
BCE_0798	NA	NA
BCE_0799	NA	NA
BCE_0800	NA	NA
BCE_0801	NA	NA
BCE_0802	NA	NA
BCE_0803	NA	NA
BCE_0804	NA	NA
BCE_0805	NA	NA
BCE_0806	NA	NA
BCE_0807	NA	NA
BCE_0808	NA	NA
BCE_0809	NA	NA
BCE_0810	NA	NA
BCE_0811	NA	NA
BCE_0812	NA	NA
BCE_0813	NA	NA
BCE_0814	NA	5
BCE_0815	2.5	21
BCE_0816	NA	7
BCE_0817	1.3	78
BCE_0818	NA	NA
BCE_0819	NA	NA
BCE_0820	NA	NA
BCE_0821	1.9	60
BCE_0822	2.6	24
BCE_0823	1.6	21
BCE_0824	NA	NA
BCE_0825	4.5	14
BCE_0826	NA	NA
BCE_0827	NA	NA
BCE_0828	NA	NA
BCE_0829	NA	NA
BCE_0830	NA	NA
BCE_0831	1.1	451
BCE_0832	NA	NA
BCE_0833	NA	32
BCE_0834	2.5	80
BCE_0835	2.7	46
BCE_0836	1.8	24
BCE_0837	4.9	12
BCE_0838	2.0	6
BCE_0839	4.4	20
BCE_0840	2.9	54
BCE_0841	1.8	112
BCE_0842	2.6	89
BCE_0843	NA	NA
BCE_0844	NA	NA
BCE_0845	NA	NA
BCE_0846	NA	NA
BCE_0847	NA	NA
BCE_0848	NA	NA
BCE_0849	NA	NA
BCE_0850	NA	NA
BCE_0851	NA	NA
BCE_0852	NA	NA
BCE_0853	NA	NA
BCE_0854	2.6	15
BCE_0855	2.8	27
BCE_0856	1.9	11
BCE_0857	2.0	25
BCE_0858	2.9	51
BCE_0859	NA	NA
BCE_0860	4.0	36
BCE_0861	NA	45
BCE_0862	NA	7
BCE_0863	NA	NA
BCE_0864	2.7	6
BCE_0865	3.0	129
BCE_0866	NA	NA
BCE_0867	NA	NA
BCE_0868	NA	NA
BCE_0869	NA	NA
BCE_0870	NA	NA
BCE_0871	NA	5
BCE_0872	2.8	18
BCE_0873	2.3	97
BCE_0874	2.1	59
BCE_0875	1.5	102
BCE_0876	NA	32
BCE_0877	5.7	33
BCE_0878	0.8	16
BCE_0879	NA	NA
BCE_0880	NA	NA
BCE_0881	NA	NA
BCE_0882	NA	NA
BCE_0883	NA	NA
BCE_0884	NA	NA
BCE_0885	NA	NA
BCE_0886	NA	NA
BCE_0887	1.5	362
BCE_0888	NA	12
BCE_0889	1.3	19
BCE_0890	1.9	11
BCE_0891	NA	11
BCE_0892	NA	NA
BCE_0893	NA	NA
BCE_0894	1.3	46
BCE_0895	NA	NA
BCE_0896	NA	NA
BCE_0897	NA	NA
BCE_0898	NA	NA
BCE_0899	NA	NA
BCE_0900	NA	NA
BCE_0901	NA	10
BCE_0902	NA	7
BCE_0903	NA	NA
BCE_0904	4.2	11
BCE_0905	1.1	8
BCE_0906	NA	NA
BCE_0907	2.0	49
BCE_0908	2.3	24
BCE_0909	NA	NA
BCE_0910	NA	NA
BCE_0911	2.5	17
BCE_0912	2.8	26
BCE_0913	1.4	9
BCE_0914	1.9	9
BCE_0915	NA	NA
BCE_0916	NA	NA
BCE_0917	NA	NA
BCE_0918	NA	NA
BCE_0919	NA	NA
BCE_0920	NA	NA
BCE_0921	NA	NA
BCE_0922	4.1	14
BCE_0923	1.1	10
BCE_0924	NA	NA
BCE_0925	NA	NA
BCE_0926	NA	NA
BCE_0927	NA	58
BCE_0928	1.0	17
BCE_0929	1.2	17
BCE_0930	NA	NA
BCE_0931	NA	NA
BCE_0932	NA	6
BCE_0933	NA	NA
BCE_0934	NA	NA
BCE_0935	NA	14
BCE_0936	NA	11
BCE_0937	1.9	44
BCE_0938	NA	1229
BCE_0939	4.8	17
BCE_0940	3.9	89
BCE_0941	NA	15
BCE_0942	NA	NA
BCE_0943	2.9	6
BCE_0944	3.1	7
BCE_0945	1.4	364
BCE_0946	1.4	285
BCE_0947	1.1	343
BCE_0948	NA	NA
BCE_0949	NA	NA
BCE_0950	NA	NA
BCE_0951	NA	NA
BCE_0952	2.1	15
BCE_0953	NA	1039
BCE_0954	NA	NA
BCE_0955	NA	NA
BCE_0956	6.0	26
BCE_0957	NA	16
BCE_0958	NA	NA
BCE_0959	2.1	7
BCE_0960	2.1	11
BCE_0961	5.3	50
BCE_0962	2.5	14
BCE_0963	NA	24
BCE_0964	1.7	99
BCE_0965	NA	NA
BCE_0966	1.6	12
BCE_0967	1.0	114
BCE_0968	2.7	25
BCE_0969	NA	NA
BCE_0970	NA	NA
BCE_0971	NA	26
BCE_0972	0.7	55
BCE_0973	NA	60
BCE_0974	0.9	104
BCE_0975	1.2	42
BCE_0976	0.8	22
BCE_0977	0.9	28
BCE_0978	0.8	44
BCE_0979	NA	NA
BCE_0980	2.8	41
BCE_0981	2.2	94
BCE_0982	NA	22
BCE_0983	2.8	25
BCE_0984	1.6	250
BCE_0985	1.5	45
BCE_0986	NA	NA
BCE_0987	NA	5
BCE_0988	NA	7
BCE_0989	2.1	39
BCE_0990	3.3	13
BCE_0991	NA	NA
BCE_0992	NA	NA
BCE_0993	NA	18
BCE_0994	NA	9
BCE_0995	NA	NA
BCE_0996	NA	26
BCE_0997	3.3	31
BCE_0998	2.8	27
BCE_0999	2.1	5
BCE_1000	4.2	84
BCE_1001	4.0	31
BCE_1002	3.4	63
BCE_1003	5.2	52
BCE_1004	5.0	53
BCE_1005	NA	NA
BCE_1006	NA	NA
BCE_1007	NA	5
BCE_1008	NA	NA
BCE_1009	NA	NA
BCE_1010	NA	NA
BCE_1011	NA	NA
BCE_1012	NA	NA
BCE_1013	3.0	23
BCE_1014	NA	18
BCE_1015	NA	NA
BCE_1016	1.5	10
BCE_1017	NA	21
BCE_1018	1.7	74
BCE_1019	2.4	119
BCE_1020	2.8	152
BCE_1021	2.6	143
BCE_1022	2.4	58
BCE_1023	NA	323
BCE_1024	NA	NA
BCE_1025	NA	NA
BCE_1026	NA	NA
BCE_1027	NA	NA
BCE_1028	NA	NA
BCE_1029	2.1	24
BCE_1030	NA	5
BCE_1031	NA	NA
BCE_1032	NA	NA
BCE_1033	NA	NA
BCE_1034	NA	NA
BCE_1035	NA	8
BCE_1036	2.7	30
BCE_1037	3.3	30
BCE_1038	NA	NA
BCE_1039	NA	NA
BCE_1040	NA	NA
BCE_1041	NA	NA
BCE_1042	NA	NA
BCE_1043	NA	53
BCE_1044	2.4	18
BCE_1045	NA	10
BCE_1046	NA	NA
BCE_1047	NA	12
BCE_1048	NA	NA
BCE_1049	NA	NA
BCE_1050	NA	8
BCE_1051	NA	NA
BCE_1052	1.1	12
BCE_1053	NA	6
BCE_1054	3.8	14
BCE_1055	NA	NA
BCE_1056	NA	NA
BCE_1057	NA	NA
BCE_1058	NA	NA
BCE_1059	NA	9
BCE_1060	1.3	5
BCE_1061	NA	NA
BCE_1062	NA	NA
BCE_1063	NA	56
BCE_1064	NA	NA
BCE_1065	NA	NA
BCE_1066	2.5	93
BCE_1067	4.3	8
BCE_1068	3.6	10
BCE_1069	3.3	14
BCE_1070	NA	8
BCE_1071	1.4	57
BCE_1072	1.3	477
BCE_1073	NA	NA
BCE_1074	NA	NA
BCE_1075	1.6	166
BCE_1076	1.1	18
BCE_1077	1.3	57
BCE_1078	NA	NA
BCE_1079	NA	NA
