label,new_label
99.0-p__TA06-_c__DG-26,TA06

100.0-p__Edwardsbacteria-_c__AC1-_o__AC1,Edwardsbacteria

100.0-p__Zixibacteria-_c__MSB-5A5,Zixibacteria

100.0-p__4572-55-_c__4572-55,4572-55

100.0-p__Gemmatimonadota,Gemmatimonadota

99.0-p__Fermentibacterota,Fermentibacterota

100.0-p__Krumholzibacteriota-_c__Krumholzibacteria,Krumholzibacteriota

98.0-p__Eisenbacteria-_c__RBG-16-71-46,Eisenbacteria

100.0-p__VGIX01-_c__VGIX01-_o__VGIX01-_f__VGIX01,VGIX01

100.0-p__JABDJQ01-_c__JABDJQ01-_o__JABDJQ01-_f__JABDJQ01,JABDJQ01

100.0-p__Acidobacteriota,Acidobacteriota

100.0-p__Chrysiogenota-_c__Chrysiogenetes-_o__Chrysiogenales-_f__Chrysiogenaceae,Chrysiogenota

100.0-p__Deferribacterota-_c__Deferribacteres-_o__Deferribacterales,Deferribacterota

100.0-p__Thermosulfidibacterota-_c__Thermosulfidibacteria-_o__Thermosulfidibacterales,Thermosulfidibacterota

100.0-p__Aquificota,Aquificota

100.0-p__Methylomirabilota-_c__Methylomirabilia,Methylomirabilota

100.0-p__Moduliflexota-_c__Moduliflexia-_o__Moduliflexales,Moduliflexota

100.0-p__SZUA-182-_c__SZUA-182,SZUA-182

100.0-p__Schekmanbacteria-_c__GWA2-38-11-_o__GWA2-38-11,Schekmanbacteria

100.0-p__Nitrospinota_B-_c__2-12-FULL-45-22-_o__2-12-FULL-45-22,Nitrospinota_B

100.0-p__Tectomicrobia-_c__Entotheonellia,Tectomicrobia

81.0-p__UBA8248-_c__UBA8248,UBA8248

59.0-p__Nitrospinota,Nitrospinota

64.0-p__Nitrospirota,Nitrospirota

100.0-p__CG2-30-53-67-_c__CG2-30-53-67-_o__CG2-30-53-67-_f__CG2-30-53-67,CG2-30-53-67

100.0-p__B130-G9-_c__B130-G9-_o__B130-G9-_f__B130-G9,B130-G9

99.0-p__CSSED10-310,CSSED10-310

6.0-p__Desulfobacterota,Desulfobacterota

100.0-p__UBA10199-_c__UBA10199,UBA10199

84.0-p__Bdellovibrionota_E-_c__O2-12-FULL-43-9,Bdellovibrionota_E

100.0-p__Desulfobacterota_G-_c__Syntrophorhabdia-_o__Syntrophorhabdales,Desulfobacterota_G

100.0-p__SZUA-79-_c__SZUA-79-_o__Acidulodesulfobacterales-_f__SZUA-79,SZUA-79

100.0-p__Desulfobacterota_D-_c__UBA1144,Desulfobacterota_D

10.0-p__Desulfobacterota_C,Desulfobacterota_C

100.0-p__Desulfobacterota_E-_c__MBNT15,Desulfobacterota_E

100.0-p__BMS3Abin14-_c__BMS3Abin14-_o__BMS3Abin14,BMS3Abin14

100.0-p__Desulfobacterota_B-_c__Binatia,Desulfobacterota_B

100.0-p__JACPQY01-_c__JACPQY01-_o__JACPQY01-_f__JACPQY01,JACPQY01

38.0-p__Myxococcota,Myxococcota

100.0-p__RBG-13-61-14-_c__RBG-13-61-14-_o__RBG-13-61-14,RBG-13-61-14

100.0-p__Desulfobacterota_I-_c__Desulfovibrionia-_o__Desulfovibrionales,Desulfobacterota_I

100.0-p__UBA2233-_c__UBA2233-_o__UBA2233-_f__UBA2233-_g__UBA2233,UBA2233

100.0-p__Nitrospirota_A-_c__Leptospirillia-_o__Leptospirillales-_f__Leptospirillaceae,Nitrospirota_A

92.0-p__Proteobacteria,Proteobacteria

100.0-p__UBP6-_c__UBA1177,UBP6

100.0-p__Bdellovibrionota_C-_c__UBA2361,Bdellovibrionota_C

100.0-p__SAR324-_c__SAR324,SAR324

4.0-p__Bdellovibrionota,Bdellovibrionota

24.0-p__Myxococcota_A,Myxococcota_A

